r_low	r_high	pressure_out	pressure_out
0.000	0.500	0.0000000000000	27.5736982783488
0.000	1.000	0.0000000000000	27.5737454014603
0.000	1.500	0.0000000000000	27.5738733078607
0.000	2.000	0.0000000000000	27.5741223921512
0.000	2.500	0.0000000000000	27.5745330544556
0.000	3.000	0.0000000000000	27.5751457045631
0.000	3.500	0.0000000000000	27.5760007672562
0.000	4.000	0.0000000000000	27.5771386888249
0.000	4.500	0.0000000000000	27.5785999447700
0.000	5.000	0.0000000000000	27.5804250486980
0.000	5.500	0.0000000000000	27.5826545624123
0.000	6.000	0.0000000000000	27.5853291072059
0.000	6.500	0.0000000000000	27.5884893763619
0.000	7.000	0.0000000000000	27.5921761488698
0.000	7.500	0.0000000000000	27.5964303043690
0.000	8.000	0.0000000000000	27.6012928393282
0.000	8.500	0.0000000000000	27.6068048844765
0.000	9.000	0.0000000000000	27.6130077235014
0.000	9.500	0.0000000000000	27.6199428130305
0.000	10.000	0.0000000000000	27.6276518039184
0.000	10.500	0.0000000000000	27.6361765638614
0.000	11.000	0.0000000000000	27.6455592013658
0.000	11.500	0.0000000000000	27.6558420910988
0.000	12.000	0.0000000000000	27.6670679006535
0.000	12.500	0.0000000000000	27.6792796187650
0.000	13.000	0.0000000000000	27.6925205850148
0.000	13.500	0.0000000000000	27.7068345210685
0.000	14.000	0.0000000000000	27.7222655634932
0.000	14.500	0.0000000000000	27.7388582982064
0.000	15.000	0.0000000000000	27.7566577966130
0.000	15.500	0.0000000000000	27.7757096534926
0.000	16.000	0.0000000000000	27.7960600267025
0.000	16.500	0.0000000000000	27.8177556787711
0.000	17.000	0.0000000000000	27.8408440204586
0.000	17.500	0.0000000000000	27.8653731563715
0.000	18.000	0.0000000000000	27.8913919327225
0.000	18.500	0.0000000000000	27.9189499873356
0.000	19.000	0.0000000000000	27.9480978020044
0.000	19.500	0.0000000000000	27.9788867573183
0.000	20.000	0.0000000000000	28.0113691900839
0.000	20.500	0.0000000000000	28.0455984534742
